dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941528320952,DNg88,False,0.0,0.0,True,1,1,18,indirect_only,18.0
720575941650178289,DNg45,False,0.0,0.0,True,1,1,18,indirect_only,18.0
720575941555637331,DNxn131,False,0.0,0.0,True,1,1,17,indirect_only,17.0
720575941652728049,DNg74,False,0.0,0.0,True,1,1,17,indirect_only,17.0
720575941596431749,DNut042,False,0.0,0.0,True,1,2,17,indirect_only,17.0
720575941563866536,DNg08,False,0.0,0.0,True,1,3,17,indirect_only,17.0
720575941611136476,DNg89,False,0.0,0.0,True,1,2,17,indirect_only,17.0
720575941625993371,DNg06,False,0.0,0.0,True,1,7,17,indirect_only,17.0
720575941590576424,DNge091,False,0.0,0.0,True,1,3,16,indirect_only,16.0
720575941534881368,DNb08,False,0.0,0.0,True,1,1,16,indirect_only,16.0
720575941430975329,DNut046,False,0.0,0.0,True,1,1,16,indirect_only,16.0
720575941394119830,DNp42,False,0.0,0.0,True,1,4,16,indirect_only,16.0
720575941513942106,DNxn117,False,0.0,0.0,True,1,3,15,indirect_only,15.0
720575941536231105,DNxn144,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941515922169,DNpe003,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941542898205,DNd04,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941569801586,DNpe042,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941500700139,DNg01,False,0.0,0.0,True,1,2,15,indirect_only,15.0
720575941588874892,DNht001,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941596182129,DNp66,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941498998395,DNg02,False,0.0,0.0,True,1,1,15,indirect_only,15.0
720575941390285462,DNg05,True,1.0,15.0,False,0,0,0,direct_only,15.0
720575941494960254,DNg79,False,0.0,0.0,True,1,4,14,indirect_only,14.0
720575941553985875,DNg02,True,1.0,14.0,False,0,0,0,direct_only,14.0
