dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941733034283,DNp19,720575941457147206,720575941565378919,iii3,steering,3,18,54
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,3,40,120
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,3,5,15
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,3,3,9
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,3,5,15
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,3,4,12
720575941733034283,DNp19,720575941457147206,720575941596050112,DLM5,power,3,4,12
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,3,4,12
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,3,15,45
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,3,3,9
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,3,4,12
720575941733034283,DNp19,720575941457147206,720575941655597785,b2,steering,3,3,9
720575941733034283,DNp19,720575941457147206,720575941463144336,DLM1,power,7,4,28
720575941733034283,DNp19,720575941457147206,720575941468288375,hg3,steering,7,6,42
720575941733034283,DNp19,720575941457147206,720575941479034563,DLM1,power,7,4,28
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,7,66,462
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,7,19,133
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,7,8,56
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,7,32,224
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,7,9,63
720575941733034283,DNp19,720575941457147206,720575941549822781,b1,steering,7,25,175
720575941733034283,DNp19,720575941457147206,720575941565378919,iii3,steering,7,18,126
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,7,40,280
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,7,5,35
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,7,3,21
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,7,5,35
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,7,4,28
720575941733034283,DNp19,720575941457147206,720575941596050112,DLM5,power,7,4,28
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,7,4,28
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,7,15,105
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,7,3,21
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,7,4,28
720575941733034283,DNp19,720575941457147206,720575941655597785,b2,steering,7,3,21
720575941733034283,DNp19,720575941459554960,720575941516770670,iii4,steering,5,12,60
720575941733034283,DNp19,720575941459554960,720575941516770670,iii4,steering,5,3,15
720575941733034283,DNp19,720575941459554960,720575941516770670,iii4,steering,5,9,45
720575941733034283,DNp19,720575941459554960,720575941549822781,b1,steering,5,4,20
720575941733034283,DNp19,720575941459554960,720575941549822781,b1,steering,5,14,70
720575941733034283,DNp19,720575941459554960,720575941549822781,b1,steering,5,20,100
720575941733034283,DNp19,720575941459554960,720575941580669817,hg1,steering,5,16,80
720575941733034283,DNp19,720575941459554960,720575941580669817,hg1,steering,5,7,35
720575941733034283,DNp19,720575941459554960,720575941580669817,hg1,steering,5,4,20
720575941733034283,DNp19,720575941459554960,720575941655597785,b2,steering,5,8,40
720575941733034283,DNp19,720575941459554960,720575941655597785,b2,steering,5,12,60
720575941733034283,DNp19,720575941459554960,720575941655597785,b2,steering,5,14,70
720575941733034283,DNp19,720575941460885005,720575941456201887,hg1,steering,4,11,44
720575941733034283,DNp19,720575941460885005,720575941456201887,hg1,steering,4,12,48
720575941733034283,DNp19,720575941460885005,720575941456201887,hg1,steering,4,13,52
720575941733034283,DNp19,720575941460885005,720575941459347411,iii4,steering,4,3,12
720575941733034283,DNp19,720575941460885005,720575941542412805,b3,steering,4,7,28
720575941733034283,DNp19,720575941460885005,720575941542412805,b3,steering,4,5,20
720575941733034283,DNp19,720575941460885005,720575941542412805,b3,steering,4,14,56
720575941733034283,DNp19,720575941460885005,720575941547315060,i1,steering,4,14,56
720575941733034283,DNp19,720575941460885005,720575941547315060,i1,steering,4,15,60
720575941733034283,DNp19,720575941460885005,720575941547315060,i1,steering,4,22,88
720575941733034283,DNp19,720575941460885005,720575941547394081,i2,steering,4,4,16
720575941733034283,DNp19,720575941464073558,720575941468897856,i1,steering,5,19,95
720575941733034283,DNp19,720575941464073558,720575941468897856,i1,steering,5,15,75
720575941733034283,DNp19,720575941464073558,720575941468897856,i1,steering,5,23,115
720575941733034283,DNp19,720575941464073558,720575941474574132,b3,steering,5,13,65
720575941733034283,DNp19,720575941464073558,720575941474574132,b3,steering,5,23,115
720575941733034283,DNp19,720575941464073558,720575941474574132,b3,steering,5,27,135
720575941733034283,DNp19,720575941464073558,720575941580669817,hg1,steering,5,7,35
720575941733034283,DNp19,720575941464073558,720575941580669817,hg1,steering,5,7,35
720575941733034283,DNp19,720575941464073558,720575941580669817,hg1,steering,5,5,25
720575941733034283,DNp19,720575941464073558,720575941468897856,i1,steering,5,19,95
720575941733034283,DNp19,720575941464073558,720575941468897856,i1,steering,5,15,75
720575941733034283,DNp19,720575941464073558,720575941468897856,i1,steering,5,23,115
720575941733034283,DNp19,720575941464073558,720575941474574132,b3,steering,5,13,65
