dn_group,muscle,indirect_fraction
DNut047,DVM2A,0.0014049634652534854
DNut053,DLM5,0.0014024762631790438
DNxn114,hg4,0.0014000799532775945
DNae003,iii3,0.0013935466135524721
DNa05,i2,0.0013898120652314468
DNp10,b1,0.0013884422804667804
DNp05,hg3,0.0013863082254697776
DNxn163,b3,0.0013831178923761312
DNg32,i1,0.0013795455315947205
DNut040,i1,0.001378149050925777
DNg05,DVM2A,0.0013766374504562357
DNg15,b2,0.001372096500099458
DNg106,iii1,0.0013710846145214117
DNp59,hg2,0.0013707860309233467
DNp69,i2,0.001368886561257409
DNa06,hg4,0.0013667570895726903
DNbe005,i2,0.0013611323631295123
DNg07,iii4,0.0013529563203607408
DNp18,hg3,0.0013501090046459938
DNg27,i2,0.0013427539647670155
DNp33,hg2,0.001338103736749815
DNp51,i1,0.001337373091076302
DNxn179,ps1,0.001332134325493992
DNg36,hg4,0.0013321229283056186
DNg32,hg1,0.0013310470560238161
DNg42,b3,0.0013244290371099189
DNxl080,hg3,0.0013222588120011224
DNp51,hg2,0.0013215883846313748
DNxn117,hg1,0.0013187834170026722
DNg07,hg4,0.0013172649081321657
DNg17,DLM1,0.0013149297998407607
DNp69,iii1,0.001313335710800581
DNge049,DVM3A,0.0013124826799879009
DNp10,b2,0.0013123803068395335
DNxn142,i1,0.0013123246983492095
DNp51,iii3,0.001310878669159749
DNg106,b3,0.0013107126896844661
DNxn125,hg4,0.0013069924137921176
DNp73,i1,0.0013064300664067867
DNut062,hg3,0.0012948248003118205
DNp19,i2,0.0012938653913833428
DNp17,hg4,0.0012888698514994584
DNg06,iii4,0.0012880797239602283
DNge053,iii1,0.0012779695173915197
DNut047,DLM1,0.0012779209697205167
DNg15,iii4,0.0012765128690476293
DNxn142,b3,0.0012756653944878986
DNb01,b3,0.0012737066834798425
DNge049,DVM2A,0.0012714842034857693
DNp05,hg2,0.001269698684756761
DNxn177,DVM3A,0.0012687067714669063
DNa16,iii4,0.0012669372828255853
DNg74,b1,0.0012666903421301241
DNg71,b1,0.0012592900638578584
DNut054,iii3,0.001259038312191674
DNb05,i2,0.001258129222437744
