Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941657879576,AVLP.LTCT,CNS neuron,ACH,0.89,acetylcholine,,,,intrinsic,descending,descending_neuron,,SMPpv2_ventral,,right,DNp06,DNp06,,,,DN
720575941657989712,GNG.T1_PRONM,"CNS neuron,soma in brain",ACH,0.89,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNge003,DNge003,,,,DN
720575941658066456,SPS.LTCT,"CNS neuron,soma in brain",OCT,0.69,,,,,intrinsic,descending,descending_neuron,,LB0_anterior,,right,DNge138,DNge138,,,,DN
720575941658613784,GNG.ANM,"CNS neuron,DNad006,soma in brain",OCT,0.33,,,,,intrinsic,descending,descending_neuron,,MX3,,right,DNad006,"DNad006,DNge172",,,,DN
720575941658621976,IPS.NTCT,"CNS neuron,soma in brain",ACH,0.79,,,,,intrinsic,descending,descending_neuron,,PSp2,,right,DNpe054,DNpe054,,,,DN
720575941658841112,ICL.T2_MESONM,"CNS neuron,DNxl102,soma in brain",ACH,0.83,,,,,intrinsic,descending,descending_neuron,,PSp3,,right,DNxl102,"DNpe006,DNxl102",,,,DN
720575941658910488,GNG,"CNS neuron,DNxn148,soma in brain",GLUT,0.94,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNxn148,"DNge026,DNxn148",,,,DN
720575941658936144,ICL.LTCT,CNS neuron,ACH,0.95,,,,,intrinsic,descending,descending_neuron,,SMPpv2_ventral,,right,DNp69,DNp69,,,,DN
720575941658941264,T1_PRONM.T3_METANM,"CNS neuron,soma in neck connective,unusual ascending-then-descending morphology",GABA,0.99,,,,,intrinsic,descending,descending_neuron,,,,left,DNxl080,DNxl080,,,,DN
720575941659400984,SAD.HTCT,"CNS neuron,DNg08,soma in brain",GABA,1.0,,,,,intrinsic,descending,descending_neuron,,MX3,,left,DNg08,"DNg08,DNg08_b",,,,DN
