group_id,group_size,target_mn,groupwise_synapses,group_neurons
97.0,2.0,720575941468897856,81,"[7.205759414595145e+17, 7.205759415362943e+17]"
97.0,2.0,720575941474574132,127,"[7.205759414595145e+17, 7.205759415362943e+17]"
98.0,2.0,720575941463144336,151,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941472734048,50,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941479034563,190,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941507955269,86,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941519783640,86,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941533190337,215,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941534583786,74,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941583644382,151,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941596050112,137,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941597489344,58,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941603635190,62,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941640465439,96,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941645403000,123,"[7.205759414602351e+17, 7.205759415540493e+17]"
99.0,2.0,720575941643100754,134,"[7.205759414610765e+17, 7.205759414744596e+17]"
107.0,2.0,720575941643100754,138,"[7.205759414682459e+17, 7.205759415534792e+17]"
111.0,2.0,720575941507955269,71,"[7.205759414687252e+17, 7.205759417299802e+17]"
111.0,2.0,720575941519783640,68,"[7.205759414687252e+17, 7.205759417299802e+17]"
111.0,2.0,720575941640465439,84,"[7.205759414687252e+17, 7.205759417299802e+17]"
111.0,2.0,720575941645403000,74,"[7.205759414687252e+17, 7.205759417299802e+17]"
113.0,2.0,720575941521196211,110,"[7.205759414690458e+17, 7.205759415732556e+17]"
113.0,2.0,720575941624155644,98,"[7.205759414690458e+17, 7.205759415732556e+17]"
116.0,2.0,720575941547394081,91,"[7.205759414701119e+17, 7.205759415018486e+17]"
119.0,2.0,720575941534583786,88,"[7.205759414720909e+17, 7.205759416148168e+17]"
119.0,2.0,720575941640465439,66,"[7.205759414720909e+17, 7.205759416148168e+17]"
119.0,2.0,720575941645403000,70,"[7.205759414720909e+17, 7.205759416148168e+17]"
121.0,2.0,720575941549822781,194,"[7.205759414744138e+17, 7.205759415467277e+17]"
121.0,2.0,720575941655597785,230,"[7.205759414744138e+17, 7.205759415467277e+17]"
122.0,2.0,720575941463144336,57,"[7.205759414744471e+17, 7.205759416251703e+17]"
122.0,2.0,720575941533190337,75,"[7.205759414744471e+17, 7.205759416251703e+17]"
122.0,2.0,720575941583644382,100,"[7.205759414744471e+17, 7.205759416251703e+17]"
122.0,2.0,720575941596050112,174,"[7.205759414744471e+17, 7.205759416251703e+17]"
123.0,2.0,720575941521196211,55,"[7.205759414747867e+17, 7.205759414790989e+17]"
