interneuron_id,out_degree,degree_centrality,betweenness_centrality,n_mn_targets
720575941413990172,31,0.0028182245185533117,0.0,6
720575941532423000,41,0.0028182245185533117,0.0,6
720575941457930655,90,0.0028182245185533117,0.0,6
720575941532476248,222,0.0028182245185533117,0.0,6
720575941566788602,34,0.0028182245185533117,0.0,6
720575941458382803,31,0.0028182245185533117,0.0,6
720575941544688308,37,0.0028182245185533117,0.0,6
720575941569616542,38,0.0028182245185533117,0.0,6
720575941436378898,40,0.0028182245185533117,0.0,6
720575941414464660,51,0.0028182245185533117,0.0,6
720575941545286792,59,0.0028182245185533117,0.0,6
720575941636281205,69,0.0028182245185533117,0.0,6
720575941433448224,28,0.0028182245185533117,0.0,6
720575941429439959,51,0.0028182245185533117,0.0,6
720575941564098567,29,0.0028182245185533117,0.0,6
720575941456244127,45,0.0028182245185533117,0.0,6
720575941526856614,51,0.0028182245185533117,0.0,6
720575941555575332,81,0.0028182245185533117,0.0,6
720575941729980203,107,0.0028182245185533117,0.0,6
720575941556222628,206,0.0028182245185533117,0.0,6
720575941468720139,25,0.0028182245185533117,0.0,6
720575941456206495,44,0.0028182245185533117,0.0,6
720575941537166997,34,0.0028182245185533117,0.0,6
720575941350395952,35,0.0028182245185533117,0.0,6
720575941558661165,36,0.0028182245185533117,0.0,6
720575941442926762,25,0.0028182245185533117,0.0,6
720575941628602594,59,0.0028182245185533117,0.0,6
720575941526847910,30,0.0028182245185533117,0.0,6
720575941542286085,45,0.0028182245185533117,0.0,6
720575941559310125,95,0.0028182245185533117,0.0,6
720575941629131490,41,0.0028182245185533117,0.0,6
720575941629354476,39,0.0028182245185533117,0.0,6
720575941400818723,33,0.0028182245185533117,0.0,6
720575941456314271,55,0.0028182245185533117,0.0,6
720575941553418724,120,0.0028182245185533117,0.0,6
720575941662449020,53,0.0028182245185533117,0.0,6
720575941529753476,28,0.0028182245185533117,0.0,6
720575941462590608,40,0.0028182245185533117,0.0,6
720575941552793939,38,0.0028182245185533117,0.0,6
720575941604989293,21,0.0023485204321277596,0.0,5
720575941512451907,46,0.0023485204321277596,0.0,5
720575941665441523,28,0.0023485204321277596,0.0,5
720575941547178164,35,0.0023485204321277596,0.0,5
720575941665486067,54,0.0023485204321277596,0.0,5
720575941489746663,27,0.0023485204321277596,0.0,5
720575941546727713,33,0.0023485204321277596,0.0,5
720575941432743054,31,0.0023485204321277596,0.0,5
720575941490220750,40,0.0023485204321277596,0.0,5
720575941574704649,109,0.0023485204321277596,0.0,5
720575941543647420,50,0.0023485204321277596,0.0,5
720575941604997997,36,0.0023485204321277596,0.0,5
720575941514046355,23,0.0023485204321277596,0.0,5
720575941608866281,22,0.0023485204321277596,0.0,5
720575941515936249,36,0.0023485204321277596,0.0,5
720575941540100381,20,0.0023485204321277596,0.0,5
720575941470786368,29,0.0023485204321277596,0.0,5
720575941583595486,19,0.0023485204321277596,0.0,5
720575941485322637,22,0.0023485204321277596,0.0,5
720575941583601886,154,0.0023485204321277596,0.0,5
720575941485378626,78,0.0023485204321277596,0.0,5
720575941583637726,21,0.0023485204321277596,0.0,5
720575941654367444,125,0.0023485204321277596,0.0,5
720575941658602520,35,0.0023485204321277596,0.0,5
720575941487815632,23,0.0023485204321277596,0.0,5
720575941543315205,89,0.0023485204321277596,0.0,5
720575941567018228,17,0.0023485204321277596,0.0,5
720575941543613033,49,0.0023485204321277596,0.0,5
720575941547390269,75,0.0023485204321277596,0.0,5
720575941566918388,81,0.0023485204321277596,0.0,5
720575941488675276,31,0.0023485204321277596,0.0,5
720575941488732876,117,0.0023485204321277596,0.0,5
720575941436391698,75,0.0023485204321277596,0.0,5
720575941667164081,53,0.0023485204321277596,0.0,5
720575941426616148,25,0.0023485204321277596,0.0,5
720575941491338441,33,0.0023485204321277596,0.0,5
720575941595766428,48,0.0023485204321277596,0.0,5
720575941505610263,46,0.0023485204321277596,0.0,5
720575941411210667,35,0.0023485204321277596,0.0,5
720575941590279208,76,0.0023485204321277596,0.0,5
720575941409904495,23,0.0023485204321277596,0.0,5
720575941505457954,29,0.0023485204321277596,0.0,5
720575941590840062,52,0.0023485204321277596,0.0,5
720575941498482043,26,0.0023485204321277596,0.0,5
720575941688253080,24,0.0023485204321277596,0.0,5
720575941595768476,25,0.0023485204321277596,0.0,5
720575941559321971,29,0.0023485204321277596,0.0,5
720575941554439251,33,0.0023485204321277596,0.0,5
720575941602315454,34,0.0023485204321277596,0.0,5
720575941554482259,39,0.0023485204321277596,0.0,5
720575941392667286,24,0.0023485204321277596,0.0,5
720575941500845035,55,0.0023485204321277596,0.0,5
720575941595021681,29,0.0023485204321277596,0.0,5
720575941504039618,39,0.0023485204321277596,0.0,5
720575941500995051,18,0.0023485204321277596,0.0,5
720575941558646061,38,0.0023485204321277596,0.0,5
720575941555505188,51,0.0023485204321277596,0.0,5
720575941729855787,59,0.0023485204321277596,0.0,5
720575941501837506,51,0.0023485204321277596,0.0,5
720575941505774209,38,0.0023485204321277596,0.0,5
720575941685707788,148,0.0023485204321277596,0.0,5
720575941550971783,70,0.0023485204321277596,0.0,5
720575941589857790,55,0.0023485204321277596,0.0,5
720575941429556655,28,0.0023485204321277596,0.0,5
720575941492318128,17,0.0023485204321277596,0.0,5
720575941492350590,184,0.0023485204321277596,0.0,5
720575941429466839,17,0.0023485204321277596,0.0,5
720575941669827505,66,0.0023485204321277596,0.0,5
720575941429324641,23,0.0023485204321277596,0.0,5
720575941669866161,27,0.0023485204321277596,0.0,5
720575941428412809,29,0.0023485204321277596,0.0,5
720575941670585767,45,0.0023485204321277596,0.0,5
720575941563450678,33,0.0023485204321277596,0.0,5
720575941508354770,151,0.0023485204321277596,0.0,5
720575941549386239,40,0.0023485204321277596,0.0,5
720575941601092537,22,0.0023485204321277596,0.0,5
720575941549399039,66,0.0023485204321277596,0.0,5
720575941507442305,21,0.0023485204321277596,0.0,5
720575941563253814,25,0.0023485204321277596,0.0,5
720575941414508948,34,0.0023485204321277596,0.0,5
720575941507266594,40,0.0023485204321277596,0.0,5
720575941507228545,31,0.0023485204321277596,0.0,5
720575941414326161,23,0.0023485204321277596,0.0,5
