dn_id,dn_name,strategy,direct_mn_targets,direct_synapses,indirect_in_targets,indirect_synapses,total_targets,total_synapses,direct_fraction
720575941559874831,DNp04,indirect_only,0,0,1,11,1,11,0.0
720575941440899023,DNg06,indirect_only,0,0,1,11,1,11,0.0
720575941535975873,DNg105,indirect_only,0,0,1,11,1,11,0.0
720575941408535343,DNb08,indirect_only,0,0,1,11,1,11,0.0
720575941637800309,DNut046,indirect_only,0,0,1,11,1,11,0.0
720575941481381117,DNg45,indirect_only,0,0,1,11,1,11,0.0
720575941524513892,DNxn109,indirect_only,0,0,1,11,1,11,0.0
720575941516764819,DNg02,direct_only,1,11,0,0,1,11,1.0
720575941645372792,DNut046,indirect_only,0,0,1,11,1,11,0.0
720575941436586784,720575941436586784,indirect_only,0,0,1,11,1,11,0.0
720575941459216287,DNfl027,indirect_only,0,0,1,11,1,11,0.0
720575941581721977,DNg21,indirect_only,0,0,1,11,1,11,0.0
720575941502262411,DNge007,indirect_only,0,0,1,11,1,11,0.0
720575941466194454,DNp04,indirect_only,0,0,1,11,1,11,0.0
720575941461875908,DNpe045,indirect_only,0,0,1,11,1,11,0.0
720575941493021104,DNut046,indirect_only,0,0,1,11,1,11,0.0
720575941569348858,DNxl112,indirect_only,0,0,1,10,1,10,0.0
720575941538218216,DNg08,indirect_only,0,0,1,10,1,10,0.0
720575941431184559,DNxn179,indirect_only,0,0,1,10,1,10,0.0
720575941655820244,DNg21,indirect_only,0,0,1,10,1,10,0.0
720575941574671517,DNpe011,indirect_only,0,0,1,10,1,10,0.0
720575941652278033,DNg10,direct_only,1,10,0,0,1,10,1.0
720575941432905943,DNg110,direct_only,1,10,0,0,1,10,1.0
720575941590435070,DNpe010,indirect_only,0,0,1,10,1,10,0.0
720575941514530892,DNp48,indirect_only,0,0,1,10,1,10,0.0
720575941540215501,DNp01,indirect_only,0,0,1,10,1,10,0.0
720575941430630392,DNxn117,indirect_only,0,0,1,10,1,10,0.0
720575941454969395,DNg56,indirect_only,0,0,1,10,1,10,0.0
720575941642966629,DNg07,direct_only,1,10,0,0,1,10,1.0
720575941564410112,DNg05,indirect_only,0,0,1,10,1,10,0.0
